,target8
CCN1C(=O)C(NC1=O)C2=CC=CC=C2,0.16609195
CCCN(CC)C(CC)C(=O)NC1=C(C=CC=C1C)C,0.27348945
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.24274804
C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,0.50480235
CCCCCCCCCCOCC(CN)O,0.16629076
CCN(CC)C(=O)C1=CN=CC=C1,0.16211773
COC1=CC(=CC(=C1)O)O,0.10165479
CCOC1=C2C(=C(C=C1)S(=O)(=O)O)C=CC=N2,0.52182394
CN[C@@H]1C[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0.73862153
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OC1=CC=CC=C1,0.43988696
COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3CC4CCN3C[C@@H]4C=C)O,0.7409876
CCOC1=CC=C(C=C1)N=NC2=CC(=C(C=C2)C=CC3=C(C=C(C=C3)N=NC4=CC=C(C=C4)OCC)S(=O)(=O)[O-])S(=O)(=O)[O-],0.56360227
COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F,0.4565403
CCCCCCCCCCCC(=O)NCCCN(C)C,0.22921315
[H+].[B-](F)(F)(F)F,0.17104736
C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O,0.8519621
CCCC(CCC)C(=O)OC1C[C@H]2CC[C@@H](C1)[N+]2(C)C,0.41097906
CC(C)(C)[C@@]1(CCN2C[C@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@@H]2C1)O,0.43893877
C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/Br)CO)O,0.47099075
C=CC(=O)OCCCl,0.24562924
CN(C)CCN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O,0.4391694
CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H](C2[C@H]5O)N3[C@@H]1O)C6=CC=CC=C6N4C,0.37633726
C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O,0.49874723
CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.3964344
CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,0.30027258
CCCCC(=O)[O-],0.16041702
C(CC(=O)O)C(=O)CN,0.14796408
C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,0.8812228
C1=CC(=CC=C1[N+](=O)[O-])[As](=O)(O)O,0.44911027
CCOC(=O)C1C(O1)C2=CC=CC=C2,0.19058469
C1=CC=C(C=C1)NO,0.47015548
[Cu]I,0.66769606
C1=CC(=C(C=C1Cl)Cl)CCl,0.2035147
CC(C)OC1=C(SC2=C1C=C(C=C2)OC)C(=NC3=NNN=N3)[O-],0.8829677
C1CCC(C1)(C(=O)NO)N(CCC(=O)O)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)F,0.40915105
C1COCCC1(C(=O)NO)NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)F,0.5039909
C[C@@H]1CN(C[C@@H](N1C2=NC(=NC=C2)[C@@H](C)O)C)C3=NC(=NC(=N3)C)C,0.41952732
CCN1C2=C(C(=N1)C)NC(=C3C=CC(=O)C=C3)CNC2=O,0.48413014
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COP(=O)([O-])[O-])O)C)O,0.6048619
C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](C[C@]3(CO3)C(=O)[C@@H]([C@H]([C@H]([C@H](OC(=O)[C@@H]([C@H]([C@@H]2C)O[C@H]4C[C@@H]([C@H]([C@@H](O4)C)OC(=O)C)OC)C)C)C)OC(=O)C)C)C)OC(=O)C)N(C)C,0.41460887
CC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,0.7011855
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+](=O)[O-],0.7044005
CCC1OCC(O1)COC2=CC=C(C=C2)OC3=CC=CC=C3,0.6063575
CC1=NC2=C(C=C1)C(=CC(=C2O)Br)Br,0.9740254
CC1=C(C2=CC=CC=C2C(=C1)OC(=O)C)OC(=O)C,0.92303085
C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)O,0.85660344
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.86139345
CC1=CC(=CC(=C1)OP(=O)(OC2=CC(=CC(=C2)C)C)OC3=CC(=CC(=C3)C)C)C,0.74193084
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])C)NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-],0.56299424
CC1=CC(=O)OC2=CC(=CC(=C12)O)O,0.89930564
CNC1(CCCCC1=O)C2=CC=CC=C2Cl,0.16945009
CC1=CC=CC=C1OCC(CNCCOC2=CC=C(C=C2)C(=O)N)O,0.4305388
C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,0.913232
