,target4
CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,0.7701374
CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,0.17471775
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(=O)O)I)I)O,0.87873745
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.4533428
C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,0.08307139
C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O,0.37164736
C1N2CN3CN1C[N+](C2)(C3)C/C=C\Cl,0.62432873
CCCCCCCCCCOCC(CN)O,0.02881493
CCOC(=O)C1=CN=CC=C1,0.039348792
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,0.8505267
CN[C@@H]1C[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0.77483684
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,0.48674715
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,0.9040065
CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.67417014
C1=CC=C2C=C(C=CC2=C1)OC(=O)C3=CC=CC=C3N,0.9266049
COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3CC4CCN3C[C@@H]4C=C)O,0.7604912
C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)C(=O)C(=NNC4=CC=C(C=C4)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-],0.7950728
CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.5071601
COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F,0.19994646
CC1COC2=CC=CC=C2N1,0.3606719
CCCCCCCCCCCC(=O)NCCCN(C)C,0.14773682
C1=CC=C(C=C1)/C=C/C2=CC=CC=C2,0.7603873
CC1=CC2=C(C=C1)C3=CC=CC=C3C=C2,0.227232
CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O,0.8945084
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,0.26366922
CCN1CCC2=C(CC1)OC(=N2)N,0.07684324
CC(C)(C)[C@@]1(CCN2C[C@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@@H]2C1)O,0.20412092
CCNC(=O)N1CCN(CC1)CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,0.8331448
C1=C(C(=O)NC(=C1Cl)Cl)Cl,0.7926731
C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])C(F)(F)F,0.6882237
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,0.8027336
C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O,0.46486852
CC(C)CC1=C(C(=NC(=C1C(=O)SC)C(F)(F)F)C(F)F)C(=O)SC,0.17336705
C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,0.10385136
CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2,0.86164325
CNCC(=O)C1=CC(=C(C=C1)O)O,0.10150688
CC(C)(C)C1CCC(=O)CC1,0.21233644
C1=CN=CC(=C1N)N,0.03976699
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@]45[C@@]3(CC(=C([C@H]4O5)O)C#N)C,0.8470715
C(CC(=O)O)C(=O)CN,0.019901924
CC(=O)[C@H]1[C@@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C#N,0.7659068
C1=CC=C(C=C1)NO,0.16836132
C1CN(CCC1(C2=CC=C(C=C2)F)O)[C@@H]3COC4=C([C@@H]3O)C=CC(=C4)O,0.8182015
C[C@@H]1CN(C[C@@H](N1C2=NC(=NC=C2)[C@@H](C)O)C)C3=NC(=NC(=N3)C)C,0.14258268
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COP(=O)([O-])[O-])O)C)O,0.62502277
CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,0.26817527
CC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,0.821524
CC(=O)C1=CC=CC=C1O,0.06260147
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+](=O)[O-],0.8203548
CC(C)(C1=CC=CC=C1)O,0.07163312
CCC1OCC(O1)COC2=CC=C(C=C2)OC3=CC=CC=C3,0.7290515
CC1=C(SCCO1)C(=O)NC2=CC=CC=C2,0.7061699
CCCCN(CCCC)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C,0.85028607
CC(=C)C=C,0.0654423
CC(C)O,0.09381379
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,0.4950001
