,target3
CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,0.07225446
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.038323388
C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O,0.12938038
COC1=CC(=CC(=C1)O)O,0.0782372
CCOC(=O)C1=CN=CC=C1,0.3607924
CCOC1=C2C(=C(C=C1)S(=O)(=O)O)C=CC=N2,0.8197614
CC(C)C(C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl,0.44397295
CC1=CC2=C(C=C1)C3=CC=CC=C3C=C2,0.639533
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,0.6028091
CCN1CCC2=C(CC1)OC(=N2)N,0.5221546
C/C(=N/NC(=O)NC1=CC(=CC(=C1)F)F)/C2=C(C=CC=N2)C(=O)[O-],0.58978194
C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,0.05846538
CNCC(=O)C1=CC(=C(C=C1)O)O,0.2520837
CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.63871896
C1=CN=CC(=C1N)N,0.4291261
C(CC(=O)O)C(=O)CN,0.07088324
C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,0.80263984
C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,0.013924027
CCN1C2=C(C(=N1)C)NC(=C3C=CC(=O)C=C3)CNC2=O,0.5596181
CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,0.22062562
CC1=CC(=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0.703866
CC(=C)C=C,0.03527607
CC(C)OC(=O)NC1=CC(=CC=C1)Cl,0.8911136
C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)O,0.85926735
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.5611144
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])C)NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-],0.5509597
C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,0.72138643
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,0.9094074
C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,0.5015613
CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,0.5715131
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,0.075457
[Hg+2],0.4875083
CC(C)CCOC(=O)C=CC1=CC=C(C=C1)OC,0.2780286
C1CN(CCC1NC(=O)C2=CC=CC=C2)CCC3=CNC4=CC=CC=C43,0.6768751
CCO/C=C\1/C(=O)OC(=N1)C2=CC=CC=C2,0.6568518
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C,0.8226428
C1=CC(=CC=C1OCC(COC(=O)N)O)Cl,0.4443998
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0.7243731
CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N,0.33395925
