,target11
CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,0.3758201
C([C@H](C([C@H](CO)O)O)O)O,0.14939158
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.4753327
C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,0.4052101
CCCCCCCCCCOCC(CN)O,0.117528155
CCOC(=O)C1=CN=CC=C1,0.16970418
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,0.919873
CN[C@@H]1C[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0.7193805
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CC(=CC(=C3)Cl)Cl,0.5456593
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,0.5093529
C1=CC=C(C(=C1)N)S(=O)(=O)O,0.25015774
CNC(=O)NC1=CC(=C(C=C1)Cl)Cl,0.67678756
CC1=C(C=C(C=C1)NC(=O)C)Cl,0.45041895
CCOC1=CC=C(C=C1)N=NC2=CC(=C(C=C2)C=CC3=C(C=C(C=C3)N=NC4=CC=C(C=C4)OCC)S(=O)(=O)[O-])S(=O)(=O)[O-],0.6458488
C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)C(=O)C(=NNC4=CC=C(C=C4)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-],0.78364444
CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.5721936
COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F,0.48437524
CC1COC2=CC=CC=C2N1,0.58962184
C1=C(C=C(C(=C1Cl)O)C(=O)O)Cl,0.42021334
CCCCCCCCCCCC(=O)NCCCN(C)C,0.3714776
C=CCOC1=C(C=C(C=C1Br)Br)Br,0.69816554
C1=CC=C(C=C1)/C=C/C2=CC=CC=C2,0.88548195
CC1=CC2=C(C=C1)C3=CC=CC=C3C=C2,0.41353118
