,target10
CCN1C(=O)C(NC1=O)C2=CC=CC=C2,0.24742922
CCCN(CC)C(CC)C(=O)NC1=C(C=CC=C1C)C,0.21120606
C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,0.124646604
CCN(CC)C(=O)C1=CN=CC=C1,0.13337763
CCOC1=C2C(=C(C=C1)S(=O)(=O)O)C=CC=N2,0.3941317
CN[C@@H]1C[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0.45605877
CC(C)C(C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl,0.625285
CCCCCCCCCCCC(=O)NCCCN(C)C,0.23261939
CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O,0.5906627
CCCC(CCC)C(=O)OC1C[C@H]2CC[C@@H](C1)[N+]2(C)C,0.19698729
CC(C)(C)[C@@]1(CCN2C[C@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@@H]2C1)O,0.20274827
C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/Br)CO)O,0.21062866
C1=CC(=C(C=C1[N+](=O)[O-])N)N,0.6313436
CC[C@H]1[C@@H]2C[C@H]3[C@H]4[C@@]5(C[C@@H](C2[C@H]5O)N3[C@@H]1O)C6=CC=CC=C6N4C,0.18313171
CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2,0.8095327
C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O,0.17030205
CN1CCN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.32446525
CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3,0.2666564
CCCCC(=O)[O-],0.15542926
C1=CC=C(C=C1)C(=O)C=O,0.15716891
C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)COP(=O)([O-])[O-])O)C)O,0.18937361
C[C@@H]1C[C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](C[C@]3(CO3)C(=O)[C@@H]([C@H]([C@H]([C@H](OC(=O)[C@@H]([C@H]([C@@H]2C)O[C@H]4C[C@@H]([C@H]([C@@H](O4)C)OC(=O)C)OC)C)C)C)OC(=O)C)C)C)OC(=O)C)N(C)C,0.12417204
C1=CC(=NC(=C1)Cl)C(=O)O,0.17152032
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+](=O)[O-],0.6010363
C=CC(=O)OCCOC(=O)C=C,0.80812865
C1=CC(=CC(=C1)C(F)(F)F)CC#N,0.20527032
CCC1OCC(O1)COC2=CC=C(C=C2)OC3=CC=CC=C3,0.48369342
CC(C)O,0.25848302
CC1=C(C2=CC=CC=C2C(=C1)OC(=O)C)OC(=O)C,0.6102355
CC1CCC(C(C1)OC(=O)C2=CC=CC=C2N)C(C)C,0.54847735
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.7765884
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])C)NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-],0.27464855
C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,0.7393107
CC1=CC(=O)OC2=CC(=CC(=C12)O)O,0.53342885
CNC1(CCCCC1=O)C2=CC=CC=C2Cl,0.29226977
CC1=CC=CC=C1OCC(CNCCOC2=CC=C(C=C2)C(=O)N)O,0.31639114
C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,0.57352173
C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,0.8432202
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,0.25876844
CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,0.62728095
