,target2
CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,0.07153544
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(=O)O)I)I)O,0.7557844
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.023248307
CCOC(=O)C1=CN=CC=C1,0.0117069315
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,0.022262517
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,0.17780778
CCCCCCCCCCCC(=O)NCCCN(C)C,0.012391485
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,0.022324756
CCN1CCC2=C(CC1)OC(=N2)N,0.014878696
CCNC(=O)N1CCN(CC1)CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,0.12923427
C1=C(C(=O)NC(=C1Cl)Cl)Cl,0.024028536
C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])C(F)(F)F,0.97087157
C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,0.02802829
CNCC(=O)C1=CC(=C(C=C1)O)O,0.014103889
C1=CN=CC(=C1N)N,0.016219435
C(CC(=O)O)C(=O)CN,0.01454995
C1=CC(=C(C(=C1)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,0.32782313
C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)[O-],0.028332708
CC(C)OC1=C(SC2=C1C=C(C=C2)OC)C(=NC3=NNN=N3)[O-],0.23834333
CC1=CC(=C(C=C1CO)C(C)(C)C)SC2=C(C[C@@](OC2=O)(CCC3=CC=C(C=C3)N)C(C)C)O,0.10235738
CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,0.05189747
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+](=O)[O-],0.1249921
CC(C)(C1=CC=CC=C1)O,0.0121512385
C1=CC=C(C(=C1)CCl)Cl,0.012650397
C=CC(=O)OCCOC(=O)C=C,0.9433565
CCC1OCC(O1)COC2=CC=C(C=C2)OC3=CC=CC=C3,0.17247584
CC(=C)C=C,0.018843306
CC(C)O,0.021810355
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.095302336
C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,0.23324636
COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,0.64719975
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,0.18600108
C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,0.025663206
CCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,0.15911208
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,0.18468288
[Hg+2],0.91005534
C1=CC=C2C=C3C=C(C=CC3=CC2=C1)Cl,0.22316167
C1=CC=C2C(=C1)C=C3C=CC=CC3=C2Br,0.66474515
CC1=C(C=CO1)SSC2=C(OC=C2)C,0.8479682
C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,0.9301838
