,target9
CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,0.0678989
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.109283075
CCCCCCCCCCOCC(CN)O,0.029381081
CCOC(=O)C1=CN=CC=C1,0.04486748
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,0.18893383
CCN1CCC2=C(CC1)OC(=N2)N,0.042688753
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,0.5158518
C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O,0.3770451
C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,0.041480962
CNCC(=O)C1=CC(=C(C=C1)O)O,0.035113048
C1=CN=CC(=C1N)N,0.053165648
C(CC(=O)O)C(=O)CN,0.038898826
CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,0.17925183
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+](=O)[O-],0.4105507
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.633172
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])C)NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-],0.20056096
C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,0.696889
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,0.117622524
[Hg+2],0.95136636
CC(C)CCOC(=O)C=CC1=CC=C(C=C1)OC,0.10431593
[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-],0.9071477
CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N,0.18962671
CC1=NC2=C(C=C(C=C2)NC(=O)NC3=CC4=C(C=C3)N=C(C=C4N)C)C(=C1)N,0.1510944
CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,0.19546027
CC1=NC=C(C(=C1O)CN)CO,0.03954597
C[C@H]1C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@@H]2CCN=C(N2)N)CNC(=O)C[C@H](CCCN)N,0.1294252
CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.24045695
CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,0.8699589
CN1C(=S)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.2802557
CC(C#CC(C)O)O,0.5584602
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)/C=C\2/C(=O)N=C(S2)N,0.71525
C1=CC(=CC=C1N=C=O)Cl,0.31108359
CCCCC(CC)COC(=O)C1=CC=CC=C1O,0.07477323
C1=C(C(=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])Cl)C(F)(F)F,0.09629408
C1=CC(=C(C=C1C(F)(F)F)N)S,0.25165683
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,0.79776853
CCN(CC)C1=CC=C(C=C1)N,0.64959204
CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1,0.37346834
CCCCCCCCCCCCCCCCN,0.030789172
CC1=C(N(C2=C1C=C(C=C2)C(=O)OCCN(C)C)CCN(C)C)C,0.10827147
COC1=C(C=CC(=C1)C=C2CCCC(=CC3=CC(=C(C=C3)O)OC)C2=O)O,0.5711635
CC(C1=CC=CC=C1)NCCC(C2=CC=CC=C2)C3=CC=CC=C3,0.5918483
CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)NC(=O)[C@H](CC4=CC=C(C=C4)OC)N)O,0.8435961
C1C(CC2=CC=CC=C2C1C3=C(SC4=CC=CC=C4C3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br,0.61389065
CCCCCC1=CC2=C(C(=C1)O)C3=C(C=CC(=C3)C)C(O2)(C)C,0.6729811
CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-],0.08359894
C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)C3C(=O)C4=CC=CC=C4C3=O,0.24822223
C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)OC,0.5604638
