,target7
CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,0.23126408
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(=O)O)I)I)O,0.91639316
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.29579005
C1N2CN3CN1C[N+](C2)(C3)C/C=C\Cl,0.7363197
CCCCCCCCCCOCC(CN)O,0.1452784
CCOC(=O)C1=CN=CC=C1,0.14036374
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,0.7003371
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,0.61353487
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,0.69508713
CC(C)C(C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl,0.36380592
CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.6662648
COCCCC/C(=N/OCCN)/C1=CC=C(C=C1)C(F)(F)F,0.45383435
CCCCCCCCCCCC(=O)NCCCN(C)C,0.23582812
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,0.64540666
CCN1CCC2=C(CC1)OC(=N2)N,0.14845943
C1CN(CCN1CCCN2C3=CC=CC=C3C=CC4=CC=CC=C42)CCO,0.6762614
CCNC(=O)N1CCN(CC1)CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,0.8511864
C1=C(C(=O)NC(=C1Cl)Cl)Cl,0.40352622
C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])C(F)(F)F,0.31427592
CC1=CSC(=C1N(C(C)COC)C(=O)CCl)C,0.97800434
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,0.8399306
C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,0.16233419
CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2,0.8921367
CNCC(=O)C1=CC(=C(C=C1)O)O,0.18645482
C1=CN=CC(=C1N)N,0.09904003
C(CC(=O)O)C(=O)CN,0.095842615
CC1=CC(=C(C=C1CO)C(C)(C)C)SC2=C(C[C@@](OC2=O)(CCC3=CC=C(C=C3)N)C(C)C)O,0.21541455
CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,0.41884735
CC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,0.40141973
CCCCCCCCCC=O,0.17441562
CCCCN(CCCC)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C,0.6196148
CC1=NC2=C(C=C1)C(=CC(=C2O)Br)Br,0.93887216
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,0.20080581
CC1=C(C2=CC=CC=C2C(=C1)OC(=O)C)OC(=O)C,0.81226534
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.33463967
C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,0.684378
