,target5
CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,0.5265116
CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,0.29250845
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.30185002
CCN(CC)C(=O)C1=CN=CC=C1,0.30053085
COC1=CC(=CC(=C1)O)O,0.29406923
CCOC(=O)C1=CN=CC=C1,0.29645962
C1=CC=C(C=C1)[C@H](C(=O)O)O,0.29921055
CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,0.31908464
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,0.6923221
CC1=C(C=C(C=C1)NC(=O)C)Cl,0.29051653
CCOP(=S)(CC)SC1=CC=CC=C1,0.39407802
C1=CC=C(C=C1)C(=O)NC2=CC3=C(C=C2)C(=O)C(=NNC4=CC=C(C=C4)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])C(=C3)S(=O)(=O)[O-],0.3066378
CC(C)COC(=O)C1=CC=CC=C1,0.3031022
CC1=CC[C@H](CC1)C(=C)C,0.29498637
C1=CC(=C(C=C1N)[N+](=O)[O-])N,0.6772617
CCCCCCCCCCCC(=O)NCCCN(C)C,0.29358456
CC1=CC2=C(C=C1)C3=CC=CC=C3C=C2,0.3085526
CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O,0.54196995
COC1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,0.30690888
CCN1CCC2=C(CC1)OC(=N2)N,0.29626217
CC(C)(C)[C@@]1(CCN2C[C@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@@H]2C1)O,0.29626048
CCNC(=O)N1CCN(CC1)CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F,0.2989201
C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])C(F)(F)F,0.56284404
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,0.29691324
C(/C(=C\C(=O)O)/C(=O)O)C(=O)O,0.29778075
C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,0.2924817
CC1=C(S(=O)(=O)CCO1)C(=O)NC2=CC=CC=C2,0.3410518
CNCC(=O)C1=CC(=C(C=C1)O)O,0.28749263
C1=CN=CC(=C1N)N,0.29979557
C(CNCCNCCN)N,0.29601943
CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,0.4482727
C(CC(=O)O)C(=O)CN,0.2863072
COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,0.67227465
CC(=O)[C@H]1[C@@H](C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C#N,0.31512925
[Cu]I,0.46890372
CC(C)OC1=C(SC2=C1C=C(C=C2)OC)C(=NC3=NNN=N3)[O-],0.42058992
C1COCCC1(C(=O)NO)NS(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)F,0.28542706
CN1C[C@@H]2[C@@H](C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24,0.2953087
CN(C)C(=O)NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,0.6751712
CCCCCCCCCC=O,0.29941162
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)[N+](=O)[O-],0.5358924
CC1=NC2=C(C=C1)C(=CC(=C2O)Br)Br,0.9813726
CC(=C)C=C,0.2991019
CC1=C(C2=CC=CC=C2C(=C1)OC(=O)C)OC(=O)C,0.5478196
C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)O,0.57016575
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.56049824
CC1=C(C=CC(=C1)C2=CC(=C(C=C2)NN=C3C(=CC4=CC(=CC(=C4C3=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-])C)NN=C5C(=CC6=CC(=CC(=C6C5=O)N)S(=O)(=O)[O-])S(=O)(=O)[O-],0.2980121
C1=CC(=C2C(=C1[N+](=O)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])O,0.6267606
CC1=CC(=O)OC2=CC(=CC(=C12)O)O,0.676627
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,0.29266238
C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCOC4=CC=C(C=C4)F,0.6395582
[Hg+2],0.9761143
CC(C)CCOC(=O)C=CC1=CC=C(C=C1)OC,0.31149575
C1=CC=C2C=C3C=C(C=CC3=CC2=C1)Cl,0.57368404
CC1=C(C=CC(=C1)C(C(F)(F)F)(C(F)(F)F)F)NC(=O)C2=C(C(=CC=C2)I)C(=O)NC(C)(C)CS(=O)(=O)C,0.660121
C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,0.9808779
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,0.31253585
CCCCCCCCCCCCCCN1C=C[N+](=C1)C,0.7109659
CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O,0.2956798
CC(C)(C)CC(C)(C)C1=CC(=C(C=C1)O)CC2=C(C=C(C=C2)Cl)Cl,0.53313947
CCC(C)O,0.30021632
CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N,0.29391205
CN1C(=NC(=O)C(=N1)[O-])SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N/OC)/C4=CSC(=N4)N)SC2)C(=O)[O-],0.28735742
CC1(CC(=O)C2=CC=CC=C2C1=O)S(=O)(=O)[O-],0.5518773
C=CC(=O)OCCN1C(=O)N(C(=O)N(C1=O)CCOC(=O)C=C)CCOC(=O)C=C,0.9876435
CC1=NC2=C(C=C(C=C2)NC(=O)NC3=CC4=C(C=C3)N=C(C=C4N)C)C(=C1)N,0.28098077
[C@H]([C@@H](C(=O)O)S)(C(=O)O)S,0.28545243
CC1=NC=C(C(=C1O)CN)CO,0.29033923
C[C@H]1C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@@H]2CCN=C(N2)N)CNC(=O)C[C@H](CCCN)N,0.3126129
CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C/C3=[N+](C4=C(C=C(C=C4)N(C)C)C=C3)C.CC1=CC(=C(N1C2=CC=CC=C2)C)/C=C/C3=[N+](C4=C(C=C(C=C4)N(C)C)C=C3)C.C1=CC=C2C(=C(C(=CC2=C1)C(=O)O)[O-])CC3=C(C(=CC4=CC=CC=C34)C(=O)O)[O-],0.47718826
CCCCCCCCN1C(=O)C(=C(S1)Cl)Cl,0.4831316
CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,0.29847392
CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,0.63447326
CN1C(=S)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.30244097
CCC(CC1=C(C(=C(C=C1I)I)O)I)C(=O)O,0.28900877
COC1=C(C=C(C=C1)N)N,0.68335325
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)/C=C\2/C(=O)N=C(S2)N,0.62121886
C1=CC(=CC=C1N=C=O)Cl,0.56639
CCCCC(CC)COC(=O)C1=CC=CC=C1O,0.3068054
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,0.31616524
C1=CC(=S)N(C=C1)[O-],0.7469088
CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,0.9629238
C1=C(C(=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])Cl)C(F)(F)F,0.29371986
C1=CC(=C(C=C1C(F)(F)F)N)S,0.44248503
CC(C1=CC=CC=C1)NN,0.2939871
CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,0.45502308
CCN(CC)C1=CC=C(C=C1)N,0.7936974
C1=C(NC=N1)C[C@@H](C(=O)O)N,0.29606888
C1=CC(=CC=C1C(=O)O)NN,0.2989935
